Wall time,Step,Value
1744609312.1575644,0,0.004193703643977642
1744609438.5651662,1,37.806640625
1744609562.2103572,2,0.0013034236617386341
1744609686.0190938,3,0.0011742665665224195
1744609809.9740653,4,0.008255960419774055
1744609933.4738188,5,0.005974433850497007
1744610057.1468768,6,0.0035752735566347837
1744610180.5230966,7,0.0014441320672631264
1744610304.0348544,8,0.0013437021989375353
1744610427.0851357,9,0.0012859550770372152
1744610551.2350276,10,0.0012400236446410418
1744610674.760435,11,0.0026805910747498274
1744610798.9811099,12,0.0012357952073216438
1744610923.9139051,13,0.0011727100936695933
1744611048.6187408,14,0.0024492100346833467
1744611171.9036572,15,0.0023379656486213207
1744611296.0614433,16,0.002251286990940571
1744611419.522984,17,0.0021829563193023205
1744611543.6779597,18,0.0021215018350631
1744611668.577678,19,0.0020603076554834843
1744611791.620282,20,0.001343803363852203
1744611916.2323298,21,0.0013492235448211432
1744612040.1830888,22,0.0013535848120227456
1744612163.1378508,23,0.0013603783445432782
1744612287.3559341,24,0.0013676210073754191
1744612412.3272016,25,0.001372994971461594
1744612535.0959508,26,0.0013729216298088431
1744612658.3142035,27,0.0013710282510146499
1744612782.9001505,28,0.0013681042473763227
1744612906.9767857,29,0.0013581858947873116
1744613031.9033422,30,0.0013486562529578805
1744613156.96617,31,0.0013403662014752626
1744613281.2515793,32,0.0013317228294909
1744613403.6800675,33,0.0013242010027170181
1744613527.7038527,34,0.0013131062733009458
1744613652.950179,35,0.0013041056226938963
1744613775.748618,36,0.0012960765743628144
1744613900.65302,37,0.001286476501263678
1744614024.0615509,38,0.001281072967685759
1744614147.844343,39,0.0012748213484883308
1744614273.079631,40,0.0010032887803390622
1744614397.6353838,41,0.0010048486292362213
1744614522.377898,42,0.0010064224479719996
1744614645.4315925,43,0.0010104196844622493
1744614769.0585167,44,0.0010158431250602007
1744614891.6425123,45,0.0010162614053115249
1744615015.373391,46,0.0010180481476709247
1744615137.7902565,47,0.0010209353640675545
1744615262.5748847,48,0.0010220851982012391
1744615386.5304651,49,0.001025079283863306
1744615510.9739914,50,0.0010261198040097952
1744615635.6081486,51,0.0010248208418488503
1744615760.8655128,52,0.0010274307569488883
1744615884.7107728,53,0.0010273049119859934
1744616010.2551126,54,0.001029315171763301
1744616135.737894,55,0.0010306930635124445
1744616259.017191,56,0.0010310508077964187
1744616383.9571564,57,0.0010309679200872779
1744616510.1075532,58,0.001032164553180337
1744616634.028485,59,0.001033168868161738
1744616758.8845193,60,0.0008353397133760154
1744616884.369158,61,0.0008405034895986319
1744617007.6426952,62,0.0008416976779699326
1744617132.0762954,63,0.0008444025879725814
1744617255.869263,64,0.0008479236275888979
1744617381.8905904,65,0.0008517767419107258
1744617506.3761067,66,0.000855404301546514
1744617631.7480505,67,0.0008593075326643884
1744617755.9130678,68,0.0008617361891083419
1744617880.7006779,69,0.0008663936168886721
1744618004.5405114,70,0.0008702169870957732
1744618127.9843569,71,0.0008746922248974442
1744618251.608127,72,0.0008781735668890178
1744618376.4537199,73,0.0008801271324045956
1744618502.5127091,74,0.000883120228536427
1744618629.0220747,75,0.0008855006890371442
1744618755.1634343,76,0.0008894432103261352
1744618881.3732638,77,0.0008920229156501591
