Wall time,Step,Value
1744624560.2377687,1,39.00471115112305
1744624560.2508342,2,37.70096206665039
1744624560.262441,3,37.27855682373047
1744624560.275531,4,36.86357498168945
1744624560.2871082,5,36.744415283203125
1744624560.3000333,6,36.541542053222656
1744624560.3082466,7,36.40394592285156
1744624560.3191729,8,36.271968841552734
1744624560.3322525,9,36.14414596557617
1744624560.3437998,10,36.2393798828125
1744624560.3568163,11,35.99031448364258
1744624560.3683124,12,35.832244873046875
1744624560.381354,13,35.88543701171875
1744624560.392871,14,35.69158935546875
1744624560.4058757,15,35.604373931884766
1744624560.4173987,16,35.6164665222168
1744624560.4304104,17,35.52348709106445
1744624560.443485,18,35.56584548950195
1744624560.4580195,19,35.495574951171875
1744624560.4726439,20,35.35908889770508
1744624560.487229,21,35.30748748779297
1744624560.5017717,22,35.323097229003906
1744624560.516286,23,35.137306213378906
1744624560.5269077,24,35.05575180053711
1744624560.537871,25,34.980682373046875
1744624560.5510197,26,34.85230255126953
1744624560.5625596,27,34.882057189941406
1744624560.5756183,28,34.8463134765625
1744624560.5871823,29,34.710750579833984
1744624560.6002648,30,34.476627349853516
1744624560.6118789,31,34.49016571044922
1744624560.6248968,32,34.39567947387695
1744624560.6364615,33,34.361419677734375
1744624560.649583,34,34.327911376953125
1744624560.6626384,35,34.16804122924805
1744624560.6712523,36,34.192054748535156
1744624560.6816244,37,34.09804916381836
1744624560.6931543,38,34.07065963745117
1744624560.7061272,39,34.091957092285156
1744624560.7176926,40,34.08509826660156
1744624560.7307386,41,33.99530029296875
1744624560.7422035,42,33.8508186340332
1744624560.7551994,43,33.860469818115234
1744624560.7667933,44,33.84345245361328
1744624560.7798727,45,33.77326583862305
1744624560.7914338,46,33.718326568603516
1744624560.8045008,47,33.62514877319336
1744624560.819095,48,33.53028106689453
1744624560.8336422,49,33.48553466796875
1744624560.8482437,50,33.529502868652344
1744624560.862746,51,33.42070770263672
1744624560.8773682,52,33.4498291015625
1744624560.8878148,53,33.47978591918945
1744624560.8960903,54,33.36934280395508
1744624560.909068,55,33.2765998840332
1744624560.9205816,56,33.298309326171875
1744624560.933677,57,33.173030853271484
1744624560.9452624,58,33.05649185180664
1744624560.9583519,59,32.99629592895508
1744624560.9699097,60,32.97947692871094
1744624560.9829617,61,32.874053955078125
1744624560.9946036,62,32.78242111206055
1744624561.0076668,63,32.82143020629883
1744624561.0192575,64,32.74982833862305
1744624561.0321238,65,32.75198745727539
1744624561.040381,66,32.74092102050781
1744624561.051238,67,32.69275665283203
1744624561.0642765,68,32.59864044189453
1744624561.0758393,69,32.70122146606445
1744624561.088927,70,32.675838470458984
1744624561.100468,71,32.65546417236328
1744624561.113514,72,32.63756561279297
1744624561.1250622,73,32.56073760986328
1744624561.138099,74,32.542816162109375
1744624561.1496556,75,32.462554931640625
1744624561.162688,76,32.46339416503906
1744624561.175712,77,32.441619873046875
1744624561.1903613,78,32.45133590698242
