Wall time,Step,Value
1744649933.5255477,128,0.0
1744650057.0049813,129,0.0
1744650179.5387087,130,0.0
1744650301.764514,131,0.0
1744650425.8545723,132,0.0
1744650548.280311,133,0.0
1744650669.443092,134,0.0
1744650791.7973042,135,0.0
1744650913.7499352,136,0.0
1744651038.091985,137,0.0
1744651161.1437235,138,0.0
1744651283.1075659,139,0.0
1744651404.7294874,140,0.0
1744651526.4110174,141,0.0
1744651649.798857,142,0.0
1744651772.0399878,143,0.0
1744651894.841735,144,0.0
1744652017.1462054,145,0.0
1744652140.2449815,146,0.0
1744652263.2573948,147,0.0
1744652386.5306873,148,0.0
1744652509.4405112,149,0.0
1744652633.3643053,150,0.0
1744652756.5815651,151,0.0
1744652879.408038,152,0.0
1744653002.4452372,153,0.0
1744653124.2516546,154,0.0
1744653247.4666526,155,0.0
1744653370.3784254,156,0.0
1744653494.5672827,157,0.0
1744653617.1047776,158,0.0
1744653740.326655,159,0.0
1744653862.8308117,160,0.0
1744653959.9266298,161,0.0
1744654041.0776942,162,0.0
1744654122.536123,163,0.0
1744654203.2304232,164,0.0
1744654285.7791917,165,0.0
1744654367.7102642,166,0.0
1744654448.6288278,167,0.0
1744654528.8927994,168,0.0
1744654610.3825157,169,0.0
1744654691.300357,170,0.0
1744654772.4723544,171,0.0
1744654853.429725,172,0.0
1744654933.8621638,173,0.0
1744655016.7991395,174,0.0
1744655097.604711,175,0.0
1744655179.2531228,176,0.0
1744655260.3568656,177,0.0
1744655341.3558466,178,0.0
1744655423.7051961,179,0.0
1744655506.259249,180,0.0
1744655587.3863213,181,0.0
1744655667.69297,182,0.0
1744655748.5012805,183,0.0
1744655830.4359803,184,0.0
1744655913.0010026,185,0.0
1744655994.2257357,186,0.0
1744656075.6297002,187,0.0
1744656156.8027995,188,0.0
1744656238.1140907,189,0.0
1744656319.9095473,190,0.0
1744656405.0104277,191,0.0
1744656487.1343374,192,0.0
1744656569.442381,193,0.0
1744656651.4585855,194,0.0
1744656732.480093,195,0.0
1744656815.1010456,196,0.0
1744656896.5045798,197,0.0
1744656979.566607,198,0.0
1744657060.7510316,199,0.0
