Wall time,Step,Value
1744581710.9084482,0,1.0
1744581793.7481446,1,1.0
1744581874.6794512,2,1.0
1744581955.8050551,3,1.0
1744582035.795262,4,1.0
1744582116.0252485,5,1.0
1744582197.1076877,6,1.0
1744582279.2838054,7,1.0
1744582360.771323,8,1.0
1744582442.411196,9,1.0
1744582524.939408,10,1.0
1744582607.046884,11,1.0
1744582688.6230614,12,1.0
1744582770.8662295,13,1.0
1744582852.3920865,14,1.0
1744582934.8109066,15,1.0
1744583015.6610591,16,1.0
1744583097.2243698,17,1.0
1744583177.9821272,18,1.0
1744583258.859487,19,1.0
1744583339.6432128,20,1.0
1744583420.334933,21,1.0
1744583501.1750984,22,1.0
1744583582.1669662,23,1.0
1744583663.4810524,24,1.0
1744583744.5395937,25,1.0
1744583825.6203973,26,1.0
1744583906.3102732,27,1.0
1744583986.781792,28,1.0
1744584068.9645312,29,1.0
1744584150.3714726,30,1.0
1744584230.8554845,31,1.0
1744584311.5436647,32,1.0
1744584392.9257631,33,1.0
1744584474.7934725,34,1.0
1744584555.2886097,35,1.0
1744584636.2507508,36,1.0
1744584717.5308428,37,1.0
1744584798.75707,38,1.0
1744584879.5898714,39,1.0
1744584960.0830336,40,1.0
1744585041.1819322,41,1.0
1744585122.1504264,42,1.0
1744585203.1418252,43,1.0
1744585284.513503,44,1.0
1744585365.6364722,45,1.0
1744585446.5206733,46,1.0
1744585526.8492978,47,1.0
1744585608.153308,48,1.0
1744585689.184539,49,1.0
1744585770.0975711,50,1.0
1744585850.9452972,51,1.0
1744585931.6136224,52,1.0
1744586012.4690056,53,1.0
1744586093.270627,54,1.0
1744586174.659566,55,1.0
1744586256.3373165,56,1.0
1744586337.1026738,57,1.0
1744586419.4194143,58,1.0
1744586500.2668946,59,1.0
1744586582.3034978,60,1.0
1744586664.2736142,61,1.0
1744586745.9865515,62,1.0
1744586828.0495737,63,1.0
1744586910.350144,64,1.0
1744586991.7278883,65,1.0
1744587072.774192,66,1.0
1744587153.5524514,67,1.0
1744587235.7662926,68,1.0
1744587318.4766283,69,1.0
1744587399.1763873,70,1.0
1744587479.528377,71,1.0
1744587560.0350358,72,1.0
1744587640.6997359,73,1.0
1744587721.4483247,74,1.0
1744587802.4543722,75,1.0
1744587883.4318357,76,1.0
1744587964.680236,77,1.0
1744588046.125659,78,1.0
1744588126.831366,79,1.0
1744588208.4864073,80,1.0
1744588288.8591423,81,1.0
1744588370.9154987,82,1.0
1744588452.210179,83,1.0
1744588534.130596,84,1.0
1744588615.7379625,85,1.0
1744588696.3611834,86,1.0
1744588778.3878934,87,1.0
1744588859.4543023,88,1.0
1744588940.8082833,89,1.0
1744589022.2811418,90,1.0
1744589103.3888793,91,1.0
1744589184.5253866,92,1.0
1744589266.6613212,93,1.0
1744589348.39269,94,1.0
1744589430.744334,95,1.0
1744589511.4305756,96,1.0
1744589592.2478504,97,1.0
1744589673.1567955,98,1.0
1744589753.6593556,99,1.0
1744589836.1984658,100,1.0
1744589917.418639,101,1.0
1744589998.754295,102,1.0
1744590079.5946093,103,1.0
1744590161.429316,104,1.0
1744590243.8961308,105,1.0
1744590326.4054682,106,1.0
1744590408.5153437,107,1.0
1744590490.7594106,108,1.0
1744590572.953897,109,1.0
1744590655.1683493,110,1.0
1744590735.3510728,111,1.0
1744590816.2369268,112,1.0
1744590897.3774264,113,1.0
1744590979.2818742,114,1.0
1744591060.465952,115,1.0
1744591141.5773733,116,1.0
