Wall time,Step,Value
1744640393.7873807,1,36.562782287597656
1744640393.801934,2,37.54917907714844
1744640393.8161004,3,37.14647674560547
1744640393.822301,4,37.188499450683594
1744640393.8278382,5,37.212669372558594
1744640393.8367672,6,37.01865768432617
1744640393.8448524,7,37.1839485168457
1744640393.8562562,8,37.25263214111328
1744640393.8648198,9,37.03021240234375
1744640393.872276,10,37.0862922668457
1744640393.8796537,11,37.16468811035156
1744640393.8914382,12,37.261383056640625
1744640393.9000394,13,36.99009323120117
1744640393.913003,14,37.116886138916016
1744640393.9246273,15,37.0986328125
1744640393.9359334,16,37.29933166503906
1744640393.9509323,17,37.26810073852539
1744640393.96546,18,37.054290771484375
1744640393.9800615,19,36.97361373901367
1744640393.99465,20,37.085655212402344
1744640394.0091026,21,37.267120361328125
1744640394.023678,22,37.178680419921875
1744640394.0382395,23,36.990478515625
1744640394.0528142,24,37.225303649902344
1744640394.0673876,25,37.25786590576172
1744640394.0819247,26,36.94209289550781
1744640394.096428,27,37.33164978027344
1744640394.1110058,28,37.297969818115234
1744640394.1255333,29,36.87946701049805
1744640394.140055,30,37.226165771484375
1744640394.1545968,31,37.09626007080078
1744640394.1691005,32,37.23353576660156
1744640394.1796303,33,37.350650787353516
1744640394.1878097,34,37.1518669128418
1744640394.1976795,35,37.32807922363281
1744640394.2074459,36,37.131683349609375
1744640394.2181695,37,37.11202621459961
1744640394.2255502,38,37.40024185180664
1744640394.2330053,39,37.06594467163086
1744640394.2403812,40,37.100624084472656
1744640394.247765,41,37.055667877197266
1744640394.2551503,42,37.29347610473633
1744640394.2625322,43,37.19428634643555
1744640394.2698987,44,37.07465362548828
1744640394.2828927,45,37.074073791503906
1744640394.294518,46,36.878353118896484
1744640394.306084,47,37.131526947021484
1744640394.3232381,48,37.05500793457031
1744640394.3377895,49,37.11032485961914
1744640394.3522954,50,37.215972900390625
1744640394.3668883,51,37.23788833618164
1744640394.3814354,52,37.2237663269043
1744640394.395972,53,37.215999603271484
1744640394.4105155,54,37.20291519165039
1744640394.4250865,55,37.133934020996094
1744640394.439571,56,37.180110931396484
1744640394.4541576,57,37.27206802368164
1744640394.4687498,58,37.17668151855469
1744640394.483284,59,37.3061408996582
1744640394.4978166,60,37.319671630859375
1744640394.5123236,61,37.14402389526367
1744640394.5268552,62,37.40009689331055
1744640394.5414999,63,37.15101623535156
1744640394.5520587,64,37.16367721557617
1744640394.5601068,65,37.11100769042969
1744640394.5656817,66,37.192222595214844
1744640394.5758586,67,37.11177444458008
1744640394.5834587,68,37.29246520996094
1744640394.591408,69,37.19047546386719
1744640394.6003382,70,37.24622344970703
1744640394.611039,71,37.16342544555664
1744640394.6184018,72,37.28083801269531
1744640394.6312413,73,37.404483795166016
1744640394.6428678,74,37.05364990234375
1744640394.651541,75,37.33951187133789
1744640394.6589136,76,37.059112548828125
1744640394.6663017,77,37.21320724487305
1744640394.6770523,78,37.210697174072266
1744640394.691596,79,37.33373260498047
1744640394.7062283,80,37.33055877685547
1744640394.720819,81,37.29679489135742
1744640394.7353733,82,37.28676986694336
1744640394.7499385,83,37.13429641723633
1744640394.7644567,84,37.173065185546875
1744640394.779025,85,37.34634017944336
1744640394.7935765,86,37.07386016845703
1744640394.8081014,87,37.21312713623047
1744640394.8225791,88,37.35808563232422
1744640394.8371298,89,37.37693786621094
1744640394.8516605,90,37.41253662109375
1744640394.866208,91,37.262516021728516
1744640394.8807979,92,37.17400360107422
1744640394.8954096,93,37.36875915527344
1744640394.9099643,94,36.99367141723633
1744640394.924489,95,37.21052932739258
1744640394.932507,96,37.21332931518555
1744640394.9401863,97,37.32991409301758
1744640394.9531446,98,37.39998245239258
1744640394.964775,99,37.17314910888672
1744640394.9733896,100,37.07926559448242
1744640394.9808502,101,37.21875
1744640394.988237,102,37.117591857910156
1744640394.9956303,103,37.22161865234375
1744640395.007453,104,37.183204650878906
1744640395.0160441,105,37.3277702331543
1744640395.0234356,106,37.187957763671875
1744640395.030882,107,37.19034194946289
1744640395.0382707,108,37.1264762878418
1744640395.0502663,109,37.25444793701172
1744640395.0648975,110,37.224300384521484
1744640395.0794933,111,36.97757339477539
1744640395.094077,112,37.267555236816406
1744640395.1086361,113,37.34862518310547
1744640395.1232266,114,37.0479736328125
1744640395.1377602,115,37.37067794799805
1744640395.1523485,116,37.29472732543945
1744640395.1668632,117,37.306114196777344
1744640395.1813989,118,37.03053283691406
1744640395.1959264,119,37.128395080566406
1744640395.2104795,120,37.14738082885742
1744640395.225053,121,37.366310119628906
1744640395.2395577,122,37.21857452392578
1744640395.2541127,123,37.172054290771484
1744640395.2686772,124,37.06608581542969
1744640395.2832756,125,37.335357666015625
1744640395.297816,126,37.265655517578125
1744640395.3060598,127,37.084442138671875
1744640395.317691,128,37.18071365356445
1744640395.326323,129,37.11945343017578
1744640395.333806,130,37.36158752441406
1744640395.3411884,131,37.25157928466797
1744640395.3540406,132,37.29584884643555
1744640395.365668,133,37.30636215209961
1744640395.3742702,134,37.1298828125
1744640395.3871157,135,37.363983154296875
1744640395.4000459,136,37.12948226928711
1744640395.411682,137,37.415489196777344
1744640395.426244,138,37.1597900390625
1744640395.4408476,139,37.43977355957031
1744640395.4554915,140,37.461402893066406
1744640395.470053,141,37.353111267089844
1744640395.4846277,142,37.38652038574219
1744640395.4991736,143,37.40313720703125
1744640395.5137691,144,37.186256408691406
1744640395.5283246,145,37.35894775390625
1744640395.5428922,146,37.343875885009766
1744640395.5574484,147,37.302154541015625
1744640395.5720084,148,37.103599548339844
1744640395.5865948,149,37.28041076660156
1744640395.6011257,150,37.29877853393555
1744640395.6156776,151,37.041419982910156
1744640395.6302605,152,37.268035888671875
1744640395.6448061,153,37.401206970214844
1744640395.6593776,154,37.242347717285156
1744640395.6707387,155,37.308448791503906
1744640395.6757793,156,37.206302642822266
1744640395.686536,157,37.27077865600586
1744640395.6972804,158,37.37845230102539
1744640395.7046669,159,37.29779815673828
1744640395.7120543,160,37.44234848022461
1744640395.7194183,161,37.143035888671875
1744640395.7267976,162,37.275535583496094
1744640395.734234,163,37.446754455566406
1744640395.741612,164,37.24383544921875
1744640395.7490435,165,37.438697814941406
1744640395.7564442,166,37.34341049194336
1744640395.7638137,167,37.25151824951172
1744640395.7711997,168,37.134246826171875
1744640395.7786067,169,37.336082458496094
1744640395.788224,170,37.12980651855469
1744640395.8028018,171,36.61904525756836
1744640395.8173358,172,36.63798904418945
1744640395.8318746,173,36.339134216308594
1744640395.8464043,174,36.56591033935547
1744640395.860991,175,36.21644592285156
1744640395.8755517,176,36.25883865356445
1744640395.890117,177,36.12736129760742
1744640395.9046328,178,36.15056610107422
1744640395.9191608,179,36.4818115234375
1744640395.933672,180,36.4603157043457
1744640395.948194,181,36.65274429321289
1744640395.9627368,182,36.66640853881836
1744640395.9773452,183,36.490577697753906
1744640395.9919248,184,36.567928314208984
1744640396.0064945,185,36.45514678955078
1744640396.0210342,186,36.84553527832031
1744640396.035558,187,36.76264572143555
1744640396.0462682,188,36.72441864013672
1744640396.0516105,189,36.714332580566406
1744640396.0589669,190,37.09397888183594
1744640396.0687213,191,37.03826904296875
1744640396.0794582,192,37.39743423461914
1744640396.0870879,193,37.18838119506836
1744640396.0964928,194,37.160911560058594
1744640396.1072147,195,36.891300201416016
1744640396.114609,196,37.0203971862793
1744640396.1220477,197,36.83304214477539
1744640396.1295688,198,36.950592041015625
1744640396.1369429,199,36.829898834228516
1744640396.1499088,200,36.730873107910156
1744640396.1614308,201,36.97052764892578
1744640396.1760445,202,37.179786682128906
1744640396.1905613,203,36.989322662353516
1744640396.2051272,204,37.00935745239258
1744640396.2196624,205,37.03971862792969
1744640396.2342145,206,36.96940994262695
1744640396.2487566,207,37.010345458984375
1744640396.263316,208,36.939693450927734
1744640396.2778704,209,37.138336181640625
1744640396.2925088,210,37.119380950927734
1744640396.3070173,211,37.17164993286133
1744640396.3215642,212,36.996437072753906
1744640396.336128,213,36.92802429199219
1744640396.3506863,214,36.969635009765625
1744640396.365261,215,37.082916259765625
1744640396.3798482,216,37.102264404296875
1744640396.3943396,217,37.1768684387207
1744640396.408922,218,36.90961837768555
1744640396.4177086,219,36.965003967285156
1744640396.4220653,220,36.925323486328125
1744640396.4305134,221,36.977195739746094
1744640396.439509,222,36.81980514526367
1744640396.4505677,223,36.87612533569336
1744640396.4594686,224,36.8922004699707
1744640396.470646,225,37.02326965332031
1744640396.4795673,226,36.8934440612793
1744640396.490686,227,36.88166809082031
1744640396.4995909,228,36.94336700439453
1744640396.5107613,229,36.92972183227539
1744640396.5196848,230,37.091514587402344
1744640396.5275552,231,36.816261291503906
1744640396.542064,232,37.04342269897461
1744640396.5565844,233,36.949153900146484
1744640396.5711594,234,36.97540283203125
1744640396.5856714,235,37.05604553222656
1744640396.6002162,236,36.907623291015625
1744640396.6147177,237,37.093467712402344
1744640396.629251,238,36.882694244384766
1744640396.6437416,239,36.961082458496094
1744640396.6583686,240,36.67753982543945
1744640396.6728938,241,36.483604431152344
1744640396.687443,242,36.6041145324707
1744640396.701976,243,36.46935272216797
1744640396.7164788,244,36.48653793334961
1744640396.7310088,245,36.4232177734375
1744640396.7456152,246,36.054779052734375
1744640396.7601326,247,36.40874481201172
1744640396.7747097,248,36.36317443847656
1744640396.785331,249,36.32283401489258
1744640396.7889028,250,36.51097106933594
1744640396.798273,251,36.304927825927734
1744640396.808973,252,36.26782989501953
1744640396.8206537,253,36.146583557128906
1744640396.8292515,254,36.4731559753418
1744640396.8366582,255,36.42646408081055
1744640396.8440473,256,36.22152328491211
1744640396.851424,257,36.30320739746094
1744640396.859089,258,36.35234069824219
1744640396.8673785,259,36.26982879638672
1744640396.8784385,260,36.3192024230957
1744640396.8873332,261,36.24455642700195
1744640396.8961143,262,36.16697692871094
1744640396.9106812,263,36.1828498840332
1744640396.925196,264,36.18572235107422
1744640396.9397588,265,36.26511001586914
1744640396.9542816,266,36.36855697631836
1744640396.9688976,267,36.74580001831055
1744640396.9834394,268,36.44523620605469
1744640396.9980376,269,36.623233795166016
1744640397.0125587,270,36.6123046875
1744640397.027077,271,36.55012130737305
1744640397.0416105,272,36.355812072753906
1744640397.0561798,273,36.54487228393555
1744640397.0706787,274,36.39855194091797
1744640397.085251,275,36.46701431274414
1744640397.099778,276,36.48762512207031
1744640397.1143124,277,36.31476974487305
1744640397.128907,278,36.382057189941406
1744640397.14349,279,36.55276870727539
1744640397.1558356,280,36.3976936340332
1744640397.1622586,281,36.45802688598633
1744640397.1698837,282,36.56298065185547
1744640397.1774902,283,36.661598205566406
1744640397.186923,284,36.14783477783203
1744640397.1977062,285,36.651824951171875
1744640397.2053416,286,36.73674011230469
1744640397.2147405,287,36.95450210571289
1744640397.2254932,288,37.135780334472656
1744640397.2329717,289,37.14839553833008
1744640397.2403488,290,37.09248352050781
1744640397.2477248,291,37.09315490722656
1744640397.2551708,292,37.12059783935547
1744640397.2625744,293,37.02618408203125
1744640397.269401,294,36.84901428222656
1744640397.2852304,295,36.97248077392578
1744640397.2997313,296,36.961830139160156
1744640397.314254,297,37.22614288330078
1744640397.3287604,298,37.12544250488281
1744640397.343279,299,37.3238525390625
1744640397.3579028,300,37.103492736816406
1744640397.3724196,301,37.186981201171875
1744640397.3869836,302,36.67338180541992
1744640397.4014843,303,36.75645065307617
1744640397.4160147,304,36.783546447753906
1744640397.4305847,305,36.881160736083984
1744640397.4450808,306,36.92919921875
1744640397.4596002,307,36.85355758666992
1744640397.474084,308,36.77580261230469
1744640397.488624,309,36.89950942993164
1744640397.5031745,310,36.86191940307617
1744640397.5177176,311,36.89985275268555
1744640397.527408,312,36.671119689941406
1744640397.5331278,313,36.869441986083984
1744640397.542036,314,36.935279846191406
1744640397.5503898,315,37.11288070678711
1744640397.5633254,316,37.072635650634766
1744640397.5749655,317,37.13288116455078
1744640397.5836496,318,37.00811767578125
1744640397.591101,319,36.922630310058594
1744640397.5984743,320,37.269954681396484
1744640397.611324,321,37.10923385620117
1744640397.6229608,322,37.1475944519043
1744640397.6316395,323,37.24656295776367
1744640397.643175,324,36.83256149291992
1744640397.6577263,325,37.132076263427734
1744640397.6722357,326,37.28487014770508
1744640397.686855,327,37.05662155151367
1744640397.7013679,328,37.1287841796875
1744640397.7159538,329,37.193687438964844
1744640397.7304568,330,37.01913070678711
1744640397.7450762,331,36.96051788330078
1744640397.7596357,332,37.0120735168457
1744640397.7741723,333,36.995689392089844
1744640397.7887106,334,36.884361267089844
1744640397.8032694,335,36.838809967041016
1744640397.8178196,336,36.95366668701172
1744640397.8323395,337,36.987998962402344
1744640397.846911,338,36.738128662109375
1744640397.8614788,339,36.99345016479492
1744640397.8760371,340,37.13343811035156
1744640397.890702,341,37.08102035522461
1744640397.8998935,342,37.03769302368164
1744640397.9045913,343,36.911258697509766
1744640397.913443,344,37.03599166870117
1744640397.9241836,345,36.790283203125
1744640397.9321856,346,36.977752685546875
1744640397.9410486,347,37.013038635253906
1744640397.951783,348,36.85612487792969
1744640397.9594617,349,37.14216232299805
1744640397.9669971,350,37.09626770019531
1744640397.971995,351,37.3320426940918
1744640397.9772365,352,37.18846130371094
1744640397.9824123,353,37.15784454345703
1744640397.9875393,354,37.18621063232422
1744640397.9924664,355,37.02571105957031
1744640397.9974966,356,37.053855895996094
1744640398.0048604,357,37.17919921875
1744640398.0130153,358,36.84154510498047
1744640398.0210273,359,37.27058410644531
1744640398.029082,360,37.017242431640625
1744640398.037112,361,37.239078521728516
1744640398.045123,362,37.245758056640625
1744640398.0531616,363,37.030128479003906
1744640398.0634136,364,37.314186096191406
1744640398.074757,365,37.14707946777344
1744640398.0879073,366,37.091705322265625
1744640398.0994868,367,37.18215560913086
1744640398.1125252,368,36.802669525146484
1744640398.1270986,369,36.89548873901367
1744640398.1416843,370,37.00312042236328
1744640398.1562674,371,36.99786376953125
1744640398.1708176,372,37.07048034667969
1744640398.1853607,373,37.003944396972656
1744640398.1999233,374,36.77796173095703
1744640398.2104168,375,37.185768127441406
1744640398.2186425,376,36.89594650268555
1744640398.2317011,377,37.11726379394531
1744640398.2432346,378,37.20261001586914
1744640398.256291,379,37.12498092651367
1744640398.267843,380,36.84435272216797
1744640398.2808664,381,37.20143127441406
1744640398.2923882,382,36.969383239746094
1744640398.3054433,383,37.145118713378906
1744640398.3169882,384,36.83742141723633
1744640398.3300571,385,36.83860397338867
1744640398.339748,386,36.769466400146484
1744640398.3474205,387,36.44364547729492
1744640398.3583329,388,36.84389877319336
1744640398.3713884,389,36.71794128417969
1744640398.3829033,390,36.89938735961914
1744640398.3960233,391,36.689144134521484
1744640398.4076693,392,36.63169860839844
1744640398.420706,393,36.47962188720703
1744640398.4322288,394,36.551483154296875
1744640398.4453008,395,36.74417495727539
1744640398.4568915,396,36.872886657714844
1744640398.470022,397,36.48442077636719
1744640398.4831026,398,36.82503128051758
1744640398.4976366,399,36.85391616821289
1744640398.512268,400,37.13395690917969
1744640398.5269005,401,37.288230895996094
1744640398.5414255,402,37.2745475769043
1744640398.5560274,403,36.89348602294922
1744640398.5705917,404,37.141971588134766
1744640398.5811815,405,37.23350143432617
1744640398.5894291,406,37.12010192871094
1744640398.6024222,407,36.964080810546875
1744640398.6138856,408,37.11319351196289
1744640398.6269834,409,37.20014190673828
1744640398.6385477,410,37.109779357910156
1744640398.6516614,411,36.4965934753418
1744640398.6632082,412,36.486576080322266
1744640398.6762025,413,36.80321502685547
1744640398.6876945,414,36.74941635131836
1744640398.7007573,415,36.41291809082031
1744640398.708349,416,36.408485412597656
1744640398.7186747,417,36.05619430541992
1744640398.7316895,418,35.87576675415039
1744640398.7432373,419,35.98938751220703
1744640398.7563488,420,35.749629974365234
1744640398.767913,421,35.70133590698242
1744640398.7810001,422,35.66868209838867
1744640398.7924614,423,35.85370635986328
1744640398.8055792,424,35.62371826171875
1744640398.8171196,425,35.803226470947266
1744640398.8302023,426,35.76116180419922
1744640398.8432178,427,35.876068115234375
1744640398.857781,428,35.86328125
1744640398.8723593,429,35.72663879394531
1744640398.8869512,430,35.736385345458984
1744640398.9015393,431,35.87549591064453
1744640398.9160697,432,35.808998107910156
1744640398.9305735,433,35.742671966552734
1744640398.9450865,434,35.7801399230957
1744640398.9556296,435,35.94626235961914
1744640398.9638302,436,35.49704360961914
1744640398.9768388,437,35.68727493286133
1744640398.9883285,438,35.68794250488281
1744640399.0014014,439,35.58576965332031
1744640399.0128965,440,35.45486068725586
1744640399.025959,441,35.68633270263672
1744640399.0375261,442,35.732940673828125
1744640399.0505648,443,35.55190658569336
1744640399.0620656,444,35.567955017089844
1744640399.0717814,445,35.31720733642578
1744640399.0794687,446,35.29253387451172
1744640399.0910048,447,35.18887710571289
